server_timestamp,esp32_timestamp,deviceId,sensor1,sensor2,sensor3,devTemp,devHumi
2025-09-06T06:31:43.182Z,2025-09-06T06:31:43.151Z,1020BA593DC0,31.65176010131836,-999,-999,27.128250122070312,39.11955261230469
2025-09-06T06:31:44.218Z,2025-09-06T06:31:44.151Z,1020BA593DC0,32.0010871887207,-999,-999,27.128250122070312,39.11955261230469
2025-09-06T06:31:45.218Z,2025-09-06T06:31:45.151Z,1020BA593DC0,32.0010871887207,-999,-999,27.128250122070312,39.04325866699219
2025-09-06T06:31:46.217Z,2025-09-06T06:31:46.151Z,1020BA593DC0,32.297645568847656,-999,-999,27.128250122070312,39.04325866699219
2025-09-06T06:31:47.219Z,2025-09-06T06:31:47.151Z,1020BA593DC0,32.297645568847656,-999,-999,27.149612426757812,39.06919860839844
2025-09-06T06:31:48.220Z,2025-09-06T06:31:48.151Z,1020BA593DC0,31.683879852294922,-999,-999,27.149612426757812,39.06919860839844
2025-09-06T06:31:49.220Z,2025-09-06T06:31:49.151Z,1020BA593DC0,31.683879852294922,-999,-999,27.170974731445312,39.07225036621094
2025-09-06T06:31:50.216Z,2025-09-06T06:31:50.151Z,1020BA593DC0,31.5782356262207,-999,-999,27.170974731445312,39.07225036621094
2025-09-06T06:31:51.217Z,2025-09-06T06:31:51.151Z,1020BA593DC0,31.5782356262207,-999,-999,27.170974731445312,39.08750915527344
2025-09-06T06:31:52.216Z,2025-09-06T06:31:52.151Z,1020BA593DC0,31.780094146728516,-999,-999,27.170974731445312,39.08750915527344
2025-09-06T06:31:53.217Z,2025-09-06T06:31:53.151Z,1020BA593DC0,31.780094146728516,-999,-999,27.170974731445312,39.12565612792969
2025-09-06T06:31:54.217Z,2025-09-06T06:31:54.151Z,1020BA593DC0,31.547698974609375,-999,-999,27.170974731445312,39.12565612792969
2025-09-06T06:31:55.221Z,2025-09-06T06:31:55.151Z,1020BA593DC0,31.547698974609375,-999,-999,27.170974731445312,39.21721267700195
2025-09-06T06:31:56.216Z,2025-09-06T06:31:56.151Z,1020BA593DC0,31.6749382019043,-999,-999,27.170974731445312,39.21721267700195
2025-09-06T06:31:57.218Z,2025-09-06T06:31:57.151Z,1020BA593DC0,31.6749382019043,-999,-999,27.170974731445312,39.25688552856445
2025-09-06T06:31:58.217Z,2025-09-06T06:31:58.151Z,1020BA593DC0,31.744150161743164,-999,-999,27.170974731445312,39.25688552856445
2025-09-06T06:31:59.219Z,2025-09-06T06:31:59.151Z,1020BA593DC0,31.744150161743164,-999,-999,27.170974731445312,39.2401008605957
2025-09-06T06:32:00.243Z,2025-09-06T06:32:00.151Z,1020BA593DC0,31.761510848999023,-999,-999,27.170974731445312,39.2401008605957
2025-09-06T06:32:01.216Z,2025-09-06T06:32:01.151Z,1020BA593DC0,31.761510848999023,-999,-999,27.170974731445312,39.1943244934082
2025-09-06T06:32:02.217Z,2025-09-06T06:32:02.151Z,1020BA593DC0,32.34553146362305,-999,-999,27.170974731445312,39.1943244934082
2025-09-06T06:32:03.219Z,2025-09-06T06:32:03.151Z,1020BA593DC0,32.34553146362305,-999,-999,27.170974731445312,39.14854431152344
2025-09-06T06:32:04.217Z,2025-09-06T06:32:04.151Z,1020BA593DC0,31.725000381469727,-999,-999,27.170974731445312,39.14854431152344
2025-09-06T06:32:05.221Z,2025-09-06T06:32:05.151Z,1020BA593DC0,31.725000381469727,-999,-999,27.170974731445312,39.15617370605469
2025-09-06T06:32:06.221Z,2025-09-06T06:32:06.151Z,1020BA593DC0,31.766767501831055,-999,-999,27.170974731445312,39.15617370605469
2025-09-06T06:32:07.221Z,2025-09-06T06:32:07.151Z,1020BA593DC0,31.766767501831055,-999,-999,27.128250122070312,39.23552322387695
2025-09-06T06:32:08.219Z,2025-09-06T06:32:08.151Z,1020BA593DC0,31.800609588623047,-999,-999,27.128250122070312,39.23552322387695
2025-09-06T06:32:09.218Z,2025-09-06T06:32:09.151Z,1020BA593DC0,31.800609588623047,-999,-999,27.128250122070312,39.2889289855957
2025-09-06T06:32:10.233Z,2025-09-06T06:32:10.151Z,1020BA593DC0,31.497270584106445,-999,-999,27.128250122070312,39.2889289855957
2025-09-06T06:32:11.238Z,2025-09-06T06:32:11.151Z,1020BA593DC0,31.497270584106445,-999,-999,27.106887817382812,39.21721267700195
2025-09-06T06:32:12.218Z,2025-09-06T06:32:12.151Z,1020BA593DC0,31.44712257385254,-999,-999,27.106887817382812,39.21721267700195
2025-09-06T06:32:13.217Z,2025-09-06T06:32:13.151Z,1020BA593DC0,31.44712257385254,-999,-999,27.085525512695312,39.2462043762207
2025-09-06T06:32:14.225Z,2025-09-06T06:32:14.151Z,1020BA593DC0,31.6474666595459,-999,-999,27.085525512695312,39.2462043762207
2025-09-06T06:32:15.217Z,2025-09-06T06:32:15.151Z,1020BA593DC0,31.6474666595459,-999,-999,27.085525512695312,39.25383377075195
2025-09-06T06:32:16.224Z,2025-09-06T06:32:16.151Z,1020BA593DC0,31.66476821899414,-999,-999,27.085525512695312,39.25383377075195
2025-09-06T06:32:17.218Z,2025-09-06T06:32:17.151Z,1020BA593DC0,31.66476821899414,-999,-999,27.106887817382812,39.3102912902832
2025-09-06T06:32:18.217Z,2025-09-06T06:32:18.151Z,1020BA593DC0,31.489192962646484,-999,-999,27.106887817382812,39.3102912902832
2025-09-06T06:32:19.226Z,2025-09-06T06:32:19.151Z,1020BA593DC0,31.489192962646484,-999,-999,27.106887817382812,39.3255500793457
2025-09-06T06:32:20.231Z,2025-09-06T06:32:20.151Z,1020BA593DC0,31.49631118774414,-999,-999,27.106887817382812,39.3255500793457
2025-09-06T06:32:21.222Z,2025-09-06T06:32:21.151Z,1020BA593DC0,31.49631118774414,-999,-999,27.149612426757812,39.3072395324707
2025-09-06T06:32:22.231Z,2025-09-06T06:32:22.151Z,1020BA593DC0,31.49648094177246,-999,-999,27.149612426757812,39.3072395324707
2025-09-06T06:32:23.240Z,2025-09-06T06:32:23.151Z,1020BA593DC0,31.49648094177246,-999,-999,27.149612426757812,39.29961013793945
2025-09-06T08:18:26.210Z,2025-09-06T08:18:26.163Z,30EDA0B1CA2C,-999,-999,-999,27.865264892578125,37.930877685546875
2025-09-06T08:18:27.234Z,2025-09-06T08:18:27.163Z,30EDA0B1CA2C,-999,-999,-999,27.843902587890625,37.889678955078125
2025-09-06T08:18:28.237Z,2025-09-06T08:18:28.163Z,30EDA0B1CA2C,-999,-999,-999,27.843902587890625,37.889678955078125
2025-09-06T08:18:29.238Z,2025-09-06T08:18:29.164Z,30EDA0B1CA2C,-999,-999,-999,27.822540283203125,37.839324951171875
2025-09-06T08:18:30.241Z,2025-09-06T08:18:30.163Z,30EDA0B1CA2C,-999,-999,-999,27.822540283203125,37.839324951171875
2025-09-06T08:18:31.236Z,2025-09-06T08:18:31.163Z,30EDA0B1CA2C,-999,-999,-999,27.843902587890625,37.865264892578125
2025-09-06T08:18:32.234Z,2025-09-06T08:18:32.163Z,30EDA0B1CA2C,-999,-999,-999,27.843902587890625,37.865264892578125
2025-09-06T08:18:33.234Z,2025-09-06T08:18:33.163Z,30EDA0B1CA2C,-999,-999,-999,27.843902587890625,37.872894287109375
2025-09-06T08:18:34.236Z,2025-09-06T08:18:34.163Z,30EDA0B1CA2C,-999,-999,-999,27.843902587890625,37.872894287109375
2025-09-06T08:18:35.235Z,2025-09-06T08:18:35.163Z,30EDA0B1CA2C,-999,-999,-999,27.865264892578125,37.836273193359375
2025-09-06T08:18:36.235Z,2025-09-06T08:18:36.163Z,30EDA0B1CA2C,-999,-999,-999,27.865264892578125,37.836273193359375
2025-09-06T08:18:37.234Z,2025-09-06T08:18:37.163Z,30EDA0B1CA2C,-999,-999,-999,27.865264892578125,37.804229736328125
2025-09-06T08:18:38.234Z,2025-09-06T08:18:38.163Z,30EDA0B1CA2C,-999,-999,-999,27.865264892578125,37.804229736328125
2025-09-06T08:18:39.238Z,2025-09-06T08:18:39.163Z,30EDA0B1CA2C,-999,-999,-999,27.843902587890625,37.850006103515625
2025-09-06T08:18:40.235Z,2025-09-06T08:18:40.163Z,30EDA0B1CA2C,-999,-999,-999,27.843902587890625,37.850006103515625
2025-09-06T08:18:41.245Z,2025-09-06T08:18:41.163Z,30EDA0B1CA2C,-999,-999,-999,27.865264892578125,37.938507080078125
2025-09-06T08:18:42.234Z,2025-09-06T08:18:42.163Z,30EDA0B1CA2C,-999,-999,-999,27.865264892578125,37.938507080078125
2025-09-06T08:18:43.233Z,2025-09-06T08:18:43.163Z,30EDA0B1CA2C,-999,-999,-999,27.843902587890625,37.976654052734375
2025-09-06T08:18:44.235Z,2025-09-06T08:18:44.163Z,30EDA0B1CA2C,-999,-999,-999,27.843902587890625,37.976654052734375
2025-09-06T08:18:45.235Z,2025-09-06T08:18:45.163Z,30EDA0B1CA2C,-999,-999,-999,27.865264892578125,37.906463623046875
2025-09-06T08:18:46.242Z,2025-09-06T08:18:46.163Z,30EDA0B1CA2C,-999,-999,-999,27.865264892578125,37.906463623046875
